"ID","SRV_ID","ORD_ID","DRV_ID","AUTO_ID","OPR_REG_ID","OPR_UPD_ID","RGN_ID","DVC_ID","BGN_RLY","END_RLY","TME_UPD","ABS_SEC","NM_ORD","NM_LGT","CALL","NOM","AUTO_CLR","AUTO_MDL","DST","FL_ONLINE","QUEUE","ST","MRK","ENB"
37167,245,474659,13338,21368,0,1824,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",7,0,1189,"о6**ек11","темно-вишневый","Лада Приора","Юго-запад","2",9,20,0,1,0
37168,243,474500,13489,21517,0,1747,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",5,0,887,"а9**мх11","вишневый","Дэу Нексия","Юго-запад","2",9,20,0,1,0
37169,246,0,13189,21226,0,-1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,70,0,"золотистый","КИА Церато","0","2","512962",9,0,1,0,0
37170,245,474752,14045,26989,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,1208,0,"синий","ВАЗ 2112","Центр","2","513328",9,0,1,0,0
37171,246,474754,13228,21175,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,313,0,"серый","Рено Логан","Юго-восток","2","513333",9,0,1,0,0
37172,245,0,13288,21319,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,1130,0,"серо-голубой","ВАЗ 2110","Центр","2","513079",9,0,1,0,0
37173,246,0,12832,20873,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,222,0,"темно-фиолетовы","Форд Фокус","Юго-запад","2","513210",9,0,1,0,0
37174,256,0,13764,26664,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,2012,0,"красный","Шевроле - Авео","Юго-запад","2","512869",9,0,1,0,0
37175,249,474613,13008,21046,0,1763,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",6,0,760,"о6**ен11","голубой","Дэу Нексия","Север","2",9,20,0,1,0
37176,256,474731,13396,21425,0,1706,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",5,0,2053,"н7**ук11","черный","Рено Логан","Север","2",9,20,0,1,0
37177,243,474480,13587,26487,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,832,0,"серебристый","Шевроле - Авео","Центр","2","513028",9,0,1,0,0
37178,256,0,12649,20699,0,1700,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",6,0,7,"н9**хо11","черный","Дэу Нексия","Юго-запад","2",9,10,0,1,0
37179,249,0,12919,21279,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,65,0,"оранжевый","ВАЗ 2110","Юго-восток","2","512741",9,0,1,0,0
37180,243,0,13491,21519,0,1743,4,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",7,0,890,"о7**кс11","темно-синий","Лада Калина","Юго-восток","1",9,10,2,1,0
37181,245,474745,13267,21298,0,1820,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",3,0,1106,"н6**нн11","темно-зеленый","Киа - Рио","Юго-запад","2",9,20,0,1,0
37182,246,474734,13174,21211,0,1804,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",7,0,54,"н2**он11","темно-серый","Рено Логан","Север","2",9,20,0,1,0
37183,256,0,13841,26225,0,1700,-1,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,2003,"н5**оо11","серебристый","Хёндай Акцент","0","2",9,10,0,1,0
37184,246,474741,12850,20891,0,1804,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",9,0,265,"н0**мр11","черный","Фольцваген-Джет","Север","2",9,20,0,1,0
37186,245,0,14205,27190,0,1824,-1,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",7,0,1168,"о5**кх11","серебристый","ВАЗ 2112","0","2",9,10,0,1,0
37187,249,0,13027,21065,0,1763,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,797,"х9**хх11","темно-синий","Мицубиси","Север","2",9,10,0,1,0
37189,246,474658,13153,21191,0,1804,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",7,0,32,"н1**уа11","темно-серый","Рено Логан","Север","2",9,20,0,1,0
